line,station,property_name,bedrooms,livingrooms,building_area,directions1,directions2,decoration,has_elevator,hml,building_height,building_year,building_style,building_location,price_sqm,price_ttl,house,house2
12号线,虹莘路,江南星城,3,2,113.09,南,,精装,0,高,6,2005,板楼,古美,58361,660,0,0
1号线,延长路,嘉利明珠城,2,2,91.01,南,北,精装,1,中,36,2005,板楼,闸北公园,80211,730,0,0
7号线,静安寺,骏豪国际,1,1,50.96,西北,,精装,1,中,29,2004,塔楼,南京西路,74569,380,0,0
12号线,嘉善路,新家坡美树馆,2,2,122,南,,精装,1,低,29,1999,板楼,建国西路,89345,1090,0,0
7号线,东安路,振兴小区(徐汇),1,1,42.16,南,,精装,0,中,5,1984,板楼,徐家汇,70684,298,0,0
8号线,中兴路,光华坊,2,2,59.26,南,,精装,0,高,7,1996,板楼,西藏北路,75768,449,0,0
12号线,大木桥路,轻工大木桥小区,3,1,79.43,南,,其他,0,中,7,1992,板楼,斜土路,103236,820,0,0
7号线,东安路,徐家汇花园,4,2,153.08,南,,简装,1,低,16,2000,板楼,徐家汇,89496,1370,0,0
9号线,杨高中路,申立苑,2,2,100.81,南,,精装,0,高,6,2002,板楼,洋泾,81838,825,0,0
4号线,鲁班路,茶陵小区,2,1,57.64,南,,毛坯,0,高,6,1989,板楼,斜土路,78071,450,0,0
10号线(新江湾城-航中路),航中路,航华四村,2,1,52.34,南,,简装,0,中,6,1994,板楼,航华,44899,235,0,0
13号线,武宁路,水岸茗苑,3,1,134.04,南,,其他,1,低,18,2003,板楼,长寿路,76694,1028,0,0
13号线,东明路,昌七小区,2,1,60.51,南,,简装,0,高,6,1996,板楼,世博,45943,278,0,0
8号线,西藏北路,共和新路1200弄,2,1,45.33,南,,精装,0,高,6,1975,板楼,大宁,52946,240,0,0
8号线,江浦路,大居苑,3,2,164,南,北,精装,0,高,7,1999,板楼,周家嘴路,54879,900,0,0
12号线,龙华中路,尚海湾豪庭,3,2,169.7,南,,精装,1,低,37,2009,板楼,徐汇滨江,110195,1870,0,0
3号线,江湾镇,政立路830弄,2,1,65.43,南,,精装,0,低,6,1995,板楼,五角场,65720,430,0,0
6号线,德平路,名典苑,3,2,134.02,南,,精装,1,中,11,2002,板楼,金杨,61932,830,0,0
9号线,松江新城,江诚苑,2,2,98,南,北,简装,0,低,6,1998,板楼,松江新城,28062,275,0,0
13号线,南京西路,振安广场,3,2,183.23,西北,,简装,1,高,31,1996,板楼,南京西路,34984,641,0,0
7号线,昌平路,康宁雅庭,3,2,147.2,南,,精装,1,低,31,2003,板楼,江宁路,135802,1999,0,0
4号线,上海体育馆,天钥花苑,2,2,122.63,南,,简装,1,高,10,1997,板楼,徐家汇,80568,988,0,0
12号线,龙华中路,盛大花园,5,3,239.44,南,,精装,1,高,12,2004,板楼,龙华,95223,2280,0,0
1号线,宝安公路,天馨花园(公寓),3,2,114.48,南,北,简装,0,高,6,2004,板楼,杨行,39221,449,0,0
11号线(花桥-三林),真如,中桥大楼,3,1,81.99,西南,,精装,1,低,20,1995,塔楼,曹杨,68302,560,0,0
4号线,浦东大道,上船大楼,1,1,63.49,南,,简装,1,中,18,1991,塔楼,陆家嘴,76390,485,0,0
4号线,上海体育场,煤科公寓,2,1,50.12,南,北,精装,0,高,6,1977,板楼,龙华,93775,470,0,0
11号线(花桥-三林),曹杨路,白玉新村,2,1,53.63,南,,简装,0,低,6,1988,板楼,武宁,83909,450,0,0
10号线(新江湾城-虹桥火车站),虹桥路,虹桥路400弄,3,2,115.71,南,,精装,1,低,26,1998,板楼,徐家汇,73460,850,0,0
2号线,东昌路,上港小区,1,1,44.86,南,,其他,0,低,5,1958,板楼,陆家嘴,71334,320,0,0
8号线,翔殷路,长海一村,3,1,70.26,南,,精装,0,低,6,1994,板楼,中原,58355,410,0,0
13号线,张江路,申城佳苑,2,1,87,南,,简装,1,低,17,2014,板楼,张江,42529,370,0,0
11号线(花桥-三林),江苏路,宣化小区,2,1,57.02,南,北,简装,0,高,6,1990,板楼,中山公园,77868,444,0,0
10号线(新江湾城-虹桥火车站),邮电新村,蒋家桥小区,2,1,54.22,南,北,简装,0,中,6,1987,板楼,曲阳,65474,355,0,0
8号线,延吉中路,控江东三村,1,1,40.15,南,,简装,0,中,6,2003,板楼,黄兴公园,57286,230,0,0
13号线,武宁路,万航小区,1,1,50.34,南,,精装,1,低,25,1995,板楼,中山公园,59595,300,0,0
6号线,航津路,友谊新村,2,1,52.79,南,,精装,0,高,6,1985,板楼,周家嘴路,54935,290,0,0
16号线,龙阳路,惠德新邨,1,1,41.42,南,,简装,0,低,6,1996,板楼,北蔡,54322,225,0,0
9号线,芳甸路,水清木华,3,2,134.76,南,北,精装,1,低,21,2004,板楼,联洋,100179,1350,0,0
12号线,陕西南路,艾格美国际公寓,2,2,102.86,暂无数据,,简装,1,高,32,2006,板楼,南京西路,115692,1190,0,0
1号线,衡山路,宛平南路65弄,1,0,33.42,南,,精装,0,高,7,1996,板楼,徐家汇,77798,260,0,0
8号线,市光路,开鲁二村,3,2,93.11,南,,其他,0,中,6,1991,板楼,中原,50478,470,0,0
11号线(嘉定北-迪士尼),白银路,新城金郡,3,2,86.28,南,北,精装,1,高,12,2013,板楼,嘉定新城,42305,365,0,0
4号线,鲁班路,紫荆新苑,2,2,90.02,南,,简装,0,中,6,1998,板楼,世博滨江,84315,759,0,0
3号线,赤峰路,商业一村,1,1,37.37,南,,精装,0,高,5,1958,板楼,鲁迅公园,52449,196,0,0
4号线,中山公园,科宁公寓,2,1,76.41,南,,精装,1,低,19,1995,板楼,中山公园,63474,485,0,0
13号线,华鹏路,大华锦绣华城(十八街区)(公寓),1,2,63.94,东南,,精装,1,高,24,2006,塔楼,北蔡,76635,490,0,0
5号线,春申路,春申城四季苑,4,2,166.4,南,,精装,0,低,5,1998,板楼,莘庄,39063,650,0,0
13号线,长寿路,绿杨村,2,1,68.43,南,,精装,0,高,6,1997,板楼,江宁路,92065,630,0,0
9号线,世纪大道,潍坊九村,1,1,34.68,南,,简装,0,高,6,1986,板楼,潍坊,116783,405,0,0
8号线,曲阳路,东体小区,2,1,51,南,,简装,0,低,6,1982,板楼,曲阳,63726,325,0,0
8号线,江浦路,同济绿园,2,2,108.96,南,,精装,1,低,11,2003,板楼,鞍山,80764,880,0,0
11号线(花桥-三林),徐家汇,乐山六七村,1,1,35.99,东南,,简装,0,低,7,1988,板楼,徐家汇,76411,275,0,0
11号线(花桥-三林),徐家汇,中原新村,2,1,48.95,南,,精装,0,中,6,1984,板楼,徐家汇,123596,605,0,0
7号线,行知路,永和雅园,3,2,88.26,南,北,精装,0,高,6,2003,板楼,阳城,66848,590,0,0
10号线(新江湾城-虹桥火车站),同济大学,鞍山八村,1,1,32.87,南,,简装,0,中,6,1981,板楼,鞍山,83055,273,0,0
10号线(新江湾城-虹桥火车站),伊犁路,邮航小区,2,1,48.16,南,,其他,0,高,5,1982,板楼,虹桥,64369,310,0,0
